filename,size,time
11885.svg,14391,43.56122500030324
187197.svg,48985,107.41643199980899
162413.svg,24420,49.882196999533335
17740.svg,21652,29.347028999836766
35621.svg,11310,23.074549000739353
146793.svg,17158,42.99278399957984
95267.svg,19794,69.99073099905218
151949.svg,22400,79.2763350000314
94900.svg,19505,21.39949399861507
23813.svg,16297,46.399929000472184
157712.svg,42914,410.2393489993119
70141.svg,22446,35.144976998708444
181720.svg,37321,42.132754999329336
196351.svg,23322,45.696344999669236
194417.svg,22207,42.97259600025427
138964.svg,29571,75.55772399973648
95792.svg,10485,5.860675000803894
36665.svg,11908,12.64210499903129
90185.svg,38313,66.47883799996634
137658.svg,25695,52.055307998671196
107135.svg,15165,23.373641999569372
175568.svg,36247,112.80872499992256
92034.svg,34448,92.73554900028103
101815.svg,20807,32.229176998953335
173300.svg,27355,82.55301499957568
18881.svg,12316,14.817370998571278
49710.svg,18176,23.689136000029976
27417.svg,46240,84.98241900088033
95564.svg,44583,52.21621200144
133361.svg,38511,73.59749200077204
166863.svg,18358,24.765403000856168
54759.svg,42957,67.25968800128612
17393.svg,11202,18.31244099957985
194817.svg,38579,92.07936299935682
89519.svg,21147,33.41487899888307
97584.svg,34987,45.38714200134564
30548.svg,17975,22.14311500028998
89460.svg,23923,40.92022199984058
7227.svg,23379,69.19618400024774
126635.svg,12683,34.50280799916072
110660.svg,14565,2.4993259994516848
65813.svg,27251,35.41997499996796
1543.svg,21250,25.318103998870356
89790.svg,12259,16.13442099915119
165702.svg,21997,52.40428599972802
194246.svg,27717,69.38089300092543
11912.svg,45270,110.74415800067072
155444.svg,11694,21.892922999541042
134767.svg,28137,47.12152799947944
56072.svg,19787,57.81075599952601
13523.svg,21859,28.84010499838041
175829.svg,25038,62.72389799960365
6186.svg,18339,112.840605999736
79291.svg,33302,57.04297000011138
132114.svg,11188,22.889591000421206
167890.svg,15664,42.54260699963197
155972.svg,11358,16.71315999919898
47994.svg,24174,31.592658000590745
189521.svg,11421,21.70509099960327
45894.svg,20367,58.05670900008408
21667.svg,10984,17.516863999844645
102299.svg,16069,29.2178759991657
3463.svg,23287,72.77781900120317
65713.svg,38273,68.17671499993594
140351.svg,39945,30.486285000733915
95434.svg,12133,29.894490999140544
12136.svg,33224,79.31895500041719
193193.svg,19016,47.21203900044202
112670.svg,39223,39.01176799990935
96552.svg,12969,14.761185000679689
45178.svg,10199,12.776126999597182
6067.svg,15420,39.072823001333745
13388.svg,22978,59.32349499926204
112800.svg,14400,23.21212799870409
132476.svg,40766,89.17362099964521
51209.svg,29145,62.85726900023292
194053.svg,19236,42.92507699938142
141598.svg,42191,54.22035499941558
77318.svg,35990,64.36496799869929
38561.svg,19603,33.67023999999219
27854.svg,27374,44.86626200014143
128249.svg,31353,46.06349699861312
188597.svg,48169,102.31650900095701
152840.svg,33420,41.17510200012475
21450.svg,24887,43.27227099929587
148075.svg,38184,77.70286300001317
129178.svg,37995,184.3632410000282
150543.svg,19092,33.14662400043744
60333.svg,17619,33.52497699961532
181605.svg,44644,83.28846999938833
74868.svg,16849,27.851893999468302
144551.svg,22719,40.897519000282045
68809.svg,10186,14.757167000425397
149570.svg,22937,56.43562700061011
105940.svg,34855,74.70138099961332
25986.svg,13195,21.53474999977334
153421.svg,45009,119.78864900083863
183163.svg,25715,62.690454000403406
193052.svg,45330,72.65947599989886
94459.svg,19958,30.857293000735808
62007.svg,26755,93.67230200041377
192987.svg,35478,77.52086999971652
54525.svg,13382,12.619863000509213
183330.svg,19455,50.85986700032663
152880.svg,29607,33.956037999814725
45155.svg,13858,26.79679699940607
121826.svg,13570,41.861854999297066
185131.svg,17523,37.36020800170081
33839.svg,13731,18.059336000078474
34603.svg,19068,42.89046200028679
164670.svg,36116,101.83949100064638
92273.svg,45271,109.94988300080877
97805.svg,24714,307.517867999195
20577.svg,26268,47.9394490012055
11679.svg,19253,2.926391000073636
155021.svg,45260,59.91713200091908
197238.svg,17997,59.64069200126687
161694.svg,43099,103.26224999880651
138598.svg,13025,12.317202999838628
108590.svg,10873,20.539044000543072
34127.svg,15069,32.901773000048706
23669.svg,18060,76.80329899994831
141383.svg,15735,22.70328899976448
44589.svg,35453,81.26041099967551
145389.svg,30320,47.77812499924039
103824.svg,12931,21.876762999454513
142830.svg,13319,20.46254000015324
2889.svg,23437,57.04798999977356
25840.svg,14686,25.97077199970954
70400.svg,20360,65.93664699903456
99381.svg,36194,4.116931999305962
80546.svg,35454,48.423460000776686
56264.svg,14340,22.62529199833807
12266.svg,11428,15.12685300076555
94269.svg,39107,72.0918070001062
167040.svg,11407,22.266928001045017
1693.svg,15602,42.45697599981213
149003.svg,12510,16.371065999919665
100052.svg,22966,33.912165999936406
154117.svg,19435,112.89003899946692
116594.svg,13702,28.06496500124922
33435.svg,21479,31.37529899868241
22809.svg,16429,30.039252998903976
167663.svg,13019,18.120250999345444
73955.svg,28744,58.98497700036387
36997.svg,46376,63.191588000336196
167405.svg,46841,38.82594800052175
108379.svg,21181,111.48047500137181
138486.svg,11917,23.204242999781854
81466.svg,33063,82.94302899957984
52653.svg,38183,110.25658000107796
2806.svg,15439,33.576724999875296
126062.svg,15031,36.67338500054029
16459.svg,23659,38.823202999992645
1771.svg,39838,487.6015900008497
17648.svg,23869,39.89428000022599
174451.svg,12387,62.50019599974621
72374.svg,13732,29.43178900022758
154031.svg,18174,31.52023199982068
122156.svg,27798,51.091323999571614
186618.svg,20774,40.50665300019318
141065.svg,41265,73.701137000171
189872.svg,26841,63.83750499844609
187645.svg,40098,110.60541699953319
192959.svg,17638,30.45042700068734
166176.svg,16245,33.51183199993102
182868.svg,13328,33.30406099848915
12189.svg,35858,48.45140199904563
11457.svg,19468,56.183953000072506
100619.svg,29525,39.70010400007595
142895.svg,25545,41.29831299906073
94885.svg,11522,13.354566999623785
19809.svg,14972,26.543400001173723
114647.svg,44256,98.2135729991569
172292.svg,24465,62.712605998967774
31246.svg,24079,33.71859199978644
84905.svg,12133,17.258015999686904
196095.svg,13275,34.80878400114307
174044.svg,14567,26.409799000248313
78328.svg,25037,285.82022200134816
151092.svg,22991,71.49098599984427
18994.svg,28691,41.215878000002704
30577.svg,17150,30.663468000057037
5163.svg,16124,32.977255001242156
40650.svg,13589,16.485111000292818
195945.svg,44581,135.07685600052355
147057.svg,10236,23.56271800090326
66387.svg,48612,74.45600800019747
14544.svg,38457,103.29449100026977
91796.svg,21563,49.13822600065032
112123.svg,13045,20.843466998485383
93942.svg,21005,38.15475500050525
200603.svg,13629,37.50957999909588
10080.svg,12899,28.643715000725933
123666.svg,17172,109.51090599883173
196206.svg,13899,22.771859001295525
119186.svg,47118,79.99860600102693
112533.svg,28939,20.09670100051153
73387.svg,18045,27.377941998565802
