,filename,size,parse_time,reify_time,mask_time,serialize_time
351,132736.svg,47931,223.77784599984807,73.50301999986186,742.4731269998119,98.80842199981998
352,13960.svg,14868,69.06423000009454,92.33515000005355,540.3377839998029,26.66007300013007
353,39739.svg,28186,40.03728899988346,156.87245299977803,553.7755539999125,25.78816100003678
354,39381.svg,24775,44.321396999748686,247.76858199993512,563.5689890000322,29.50655499989807
355,61992.svg,31094,47.75107699970249,336.98213199977545,572.7496609997615,29.63215099998706
356,82074.svg,43736,73.43044300023394,436.18438600014997,601.6802600001938,45.331600999816146
357,146712.svg,43303,117.86250900013329,121.54060700004266,689.1854630002854,82.01607399996647
358,186534.svg,35966,87.5251899997238,264.4950159997279,631.6394870000295,54.694283999651816
359,50117.svg,13938,67.70949800011294,87.71392500011643,550.6025069998941,25.18467400022928
360,82762.svg,28849,39.32464599984087,248.38778899993486,555.041978999725,27.113557000120636
361,31822.svg,49494,152.0718609999676,141.07788399996934,745.7458720000432,94.98481999980868
362,122416.svg,12420,50.33850999961942,65.74939699976312,558.3610899998348,33.38869600020189
363,41707.svg,17823,34.84750300003725,114.24150899983943,541.0573899998781,22.94726999980412
364,140015.svg,46928,151.82354399985343,329.8620719997416,806.8432059999395,98.24369799980559
365,156079.svg,22914,43.454845000269415,148.93430199981594,543.6493410002186,25.293009000051825
366,134989.svg,11334,16.108559999793215,88.76364300022033,504.5592370001941,11.105116000180715
367,15999.svg,33502,102.30493700009902,335.45620799986864,995.5069959996763,48.48034099995857
368,3130.svg,18454,53.9850390000538,117.69919100015613,577.0189419999951,34.82539199967505
369,67612.svg,25220,58.79076000019268,337.5385300000744,618.8707279998198,40.27901400013434
370,149832.svg,37365,67.20825400043395,30.903194999609696,607.1560939999472,52.046026999960304
371,24709.svg,30139,232.4372560001393,79.63267500008442,751.4930359998289,94.45064400006231
372,52790.svg,47128,451.67901900003926,59.345295000184706,675.4685870000685,74.52591699984623
373,51239.svg,38037,77.8894909999508,331.12227499987057,633.0077940001502,51.586179999958404
374,145861.svg,30178,55.38174899993464,119.24795899994933,587.7032050002526,36.198068000430794
375,134544.svg,10251,30.87461199993413,59.09622599983777,527.0865759998742,18.303794000075868
376,71592.svg,23922,37.089316000219696,159.03687899981378,558.0724270002975,22.820791999947687
377,69764.svg,10042,40.81037500009188,30.921249000130047,547.3815410000498,21.898684999996476
378,68727.svg,14024,42.86292999995567,39.3781669999953,544.7447139999895,26.01388700031748
379,22961.svg,27574,38.899726000181545,339.53780499996356,553.0058829999689,28.046864999851095
380,120775.svg,11840,26.09669200001008,103.34063800019067,511.61699999966004,15.98298299995804
381,22298.svg,17742,35.28957599974092,65.94784000026266,537.9923770001369,23.898932000065543
382,89108.svg,22165,46.44127000028675,125.11706300028891,564.6190669999669,29.060154000035254
383,97270.svg,26154,96.74223000001803,179.46976399980485,695.376842999849,69.87472599985267
384,86850.svg,29272,75.55499399995824,96.66064600014579,611.6145109999707,48.278651000146056
